timestamp,player,tournament,surface,betfair_odds,our_prob,implied_prob,edge,ev,base_units,odds_category,odds_cap,edge_override,final_units,stake_tier,is_value,notes
2026-01-20T14:28:00.859034,Florencia Belen Moron,ITF Buenos Aires,Clay,21.0,82.5,4.8,77.7,1632.5,3,longshot,1,True,3.0,strong,True,edge_override_applied;longshot_warning
2026-01-20T14:28:00.879661,Camila Romero,ITF Buenos Aires,Clay,6.4,42.6,15.6,27.0,172.6,3,longshot,1,True,3.0,strong,True,edge_override_applied;longshot_warning
2026-01-20T14:28:00.962429,Nicolas Mejia,Oeiras Challenger 2026,Grass,2.06,51.0,48.5,2.5,5.1,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:00.984004,Adolfo Daniel Vallejo,Itajai Challenger 2026,Grass,1.42,81.5,70.4,11.1,15.7,2,short,3,False,2.0,confident,True,
2026-01-20T14:28:01.025898,Gonzalo Bueno,Itajai Challenger 2026,Grass,1.67,69.9,59.9,10.0,16.7,2,short,3,False,2.0,confident,True,
2026-01-20T14:28:01.049720,Gonzalo Villanueva,Itajai Challenger 2026,Grass,3.5,34.0,28.6,5.4,19.0,1,medium,3,False,1.0,standard,True,
2026-01-20T14:28:01.070485,Melina Maria Maruca,ITF Buenos Aires,Clay,13.5,79.0,7.4,71.6,966.5,3,longshot,1,True,3.0,strong,True,edge_override_applied;longshot_warning
2026-01-20T14:28:01.092140,Henrique Rocha,Oeiras Challenger 2026,Grass,2.32,53.3,43.1,10.2,23.7,2,medium,3,False,2.0,confident,True,
2026-01-20T14:28:01.216935,Gauthier Onclin,Oeiras Challenger 2026,Grass,2.62,42.5,38.2,4.3,11.4,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:01.260241,Lautaro Midon,Itajai Challenger 2026,Grass,2.24,48.3,44.6,3.7,8.2,0,medium,3,False,0.0,no_bet,True,
2026-01-20T14:28:01.281786,Juan Pablo Varillas,Itajai Challenger 2026,Grass,1.61,73.9,62.1,11.8,19.0,2,short,3,False,2.0,confident,True,
2026-01-20T14:28:01.303486,Tiago Pereira,Oeiras Challenger 2026,Grass,4.8,44.6,20.8,23.8,114.1,3,long,2,True,3.0,strong,True,edge_override_applied;longshot_warning
2026-01-20T14:28:01.344774,Alexis Galarneau,Oeiras Challenger 2026,Grass,2.94,57.2,34.0,23.2,68.2,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:01.366435,Denis Yevseyev,Oeiras Challenger 2026,Grass,4.3,32.6,23.3,9.3,40.2,1,long,2,False,1.0,standard,True,longshot_warning
2026-01-20T14:28:01.387952,Valentina Ryser,ITF Leszno,Hard,2.66,60.4,37.6,22.8,60.7,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:01.408465,Nehanda Thomias,ITF Petit Bourg,Hard,34.0,69.8,2.9,66.9,2273.2,3,longshot,1,True,3.0,strong,True,edge_override_applied;longshot_warning
2026-01-20T14:28:01.429647,Daphnee Mpetshi Perricard,ITF Petit Bourg,Hard,2.18,85.2,45.9,39.3,85.7,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:01.451970,Jan Choinski,Oeiras Challenger 2026,Grass,2.28,57.9,43.9,14.0,32.0,2,medium,3,False,2.0,confident,True,
2026-01-20T14:28:01.512498,Jaeda Daniel,ITF Petit Bourg,Hard,1.42,82.3,70.4,11.9,16.9,2,short,3,False,2.0,confident,True,
2026-01-20T14:28:01.536254,Juan Bautista Torres,Itajai Challenger 2026,Grass,1.49,72.7,67.1,5.6,8.3,1,short,3,False,1.0,standard,True,
2026-01-20T14:28:01.557841,Gabi Adrian Boitan,Itajai Challenger 2026,Grass,3.2,53.9,31.2,22.7,72.5,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:01.579021,Jasmijn Gimbrere,ITF Petit Bourg,Hard,2.58,61.5,38.8,22.7,58.7,3,medium,3,True,3.0,strong,True,edge_override_applied
2026-01-20T14:28:01.601365,Nicolas Kicker,Itajai Challenger 2026,Grass,3.0,42.9,33.3,9.6,28.7,1,medium,3,False,1.0,standard,True,
2026-01-20T14:28:01.622845,Juan Manuel La Serna,Itajai Challenger 2026,Grass,1.76,76.8,56.8,20.0,35.2,3,short,3,False,3.0,strong,True,
2026-01-20T14:28:01.644305,Eduardo Ribeiro,Itajai Challenger 2026,Grass,2.74,49.6,36.5,13.1,35.9,2,medium,3,False,2.0,confident,True,
2026-01-20T14:28:01.665336,Pauline Payet,ITF Petit Bourg,Hard,1.88,86.7,53.2,33.5,63.0,3,short,3,True,3.0,strong,True,edge_override_applied
